,restaurant_name,ratings,review,location,time
232,Kao Mun Gai Convent,4.5/5,(11),"162 ซอยอรุณอมรินทร์ 4 ถนนเทศบาลสาย 1 แขวงวัดกัลยาณ์ เขตธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        8:00 AM - 10:00 AM                                    
"
233,Nai Kieng Empire Fried Noodles (Chom Thong 19),4.4/5,(22),"14/200 ซอยจอมทอง 19 ถนนรัตนกวี จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        8:00 AM - 1:45 PM                                    
"
234,Archie,4.1/5,(11),"254,256 ซอยประชาธิปก 4 วัดกัลยาณ์ ธนบุรี, 10600 Bangkok","

                                                                        Mon,                                                                                                 Tue,                                                                                                 Thu,                                                                                                 Fri                                                                                        11:00 AM - 2:00 PM,                                             5:00 PM - 10:00 PM                                    

                                                                        Sat,                                                                                                 Sun                                                                                        11:00 AM - 10:00 PM                                    
"
235,Dairy Queen (Big C Daokanong),4.6/5,(9),"1050 ถนนสมเด็จพระเจ้าตากสิน บุคคโล ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:00 PM                                    
"
236,Hang Heng Duck,4.4/5,(53),"551 ถนนเจริญนคร แขวงดาวคะนอง เขตธนบุรี, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        8:00 AM - 8:30 PM                                    
"
237,Je Bum Pu Khai Dong,5/5,(1),"1050/38 จรัญสนิทวงศ์ ซอย 3 แขวงวัดท่าพระ บางใหญ่ กทม., 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
238,Cold Stone Creamery (Terminal 21),4.5/5,(369),"Terminal 21, 88 Room No. KI4-020, 4th Floor, 10110 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 8:00 PM                                    
"
239,Steak Samre,4.5/5,(2),"ซอยสมเด็จพระเจ้าตากสิน 21 สำเหร่, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        4:00 PM - 10:00 PM                                    
"
240,Nai Soon Charoen Nakhon (Ekkachai31),4.2/5,(14),"6/22 หมู่4 ถนนปากซอยเอกชัย 31 แขวงบางขุนเทียน เขตจอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 8:00 PM                                    
"
241,The Box Of Fit,3.8/5,(5),"เลขที่1257 ถนนเจิรญนคร แขวงบางลำภู เขตคลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
242,Vacation Bangkok,5/5,(1),"756,762,764 ถนนเจริญราษฎร์ คลองต้นสาย คลองสาน, 10600 Bangkok","

                                                                        Tue - Sun                                                                                        8:00 AM - 7:00 PM                                    
"
243,Larb Roi Et,3.4/5,(16),"172/2 ซอยจรัญสนิทวงศ์ 28, บ้านช่างหล่อ, บางกอกน้อย, 10700 Bangkok","

                                                                        Mon - Sun                                                                                        2:30 PM - 10:30 PM                                    
"
244,Jae Muan Kanom Wan,2/5,(1),"39/4 ซอยจอมทอง11 จอมทอง, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        2:00 PM - 9:00 PM                                    
"
245,Burger King (Riverside),4.5/5,(463),"257 ห้อง 107 ริเวอร์ไซด์ พลาซ่า ถนนเจริญนคร แขวงสำเหร่ เขตธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        12:00 AM - 11:59 PM                                    
"
246,Thepharak,5/5,(6),"81 ซอยจอมทอง 5 จอมทอง, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        9:30 AM - 6:30 PM                                    
"
247,Fresh Me Bubble Milk Tea (Thonburi),4.5/5,(35),"172 ถนนอิสรภาพ, วัดกัลยาณ์, ธนบุรี, 10600 Bangkok","

                                                                        Mon - Fri,                                                                                                 Sun                                                                                        10:00 AM - 5:00 PM                                    
"
248,Phet Tom Lueat Mu,3.9/5,(12),"204/27, เพชรเกษม 36, ภาษีเจริญ, ปากคลอง, 10160 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 3:00 PM                                    
"
249,Wongwian Yai Noodle,4/5,(36),"29 ซอยเจริญรัถ 1 แขวงคลองสาน เขตคลองสาน, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        6:00 PM - 11:59 PM                                    
"
250,Phad Thai Na Rok Tek,4.2/5,(27),"286 ถนนลาดหญ้า,คลองต้นไทร,คลองสาน, 10600 Bangkok","

                                                                        Tue - Sun                                                                                        3:00 PM - 10:00 PM                                    
"
251,Krua Kun Tim,4.3/5,(12),"275 อรุณอัมรินทร์ ซอย 6 ปากซอย กัลยาณ์ 3 ธนบุรี กรุงเทพมหานคร 10600, 10600 Bangkok","

                                                                        Tue - Sun                                                                                        4:00 PM - 9:00 PM                                    
"
252,Chaoguay Tengnueng,3/5,(1),"ชั้นใต้ดิน อาคารสินสาธรทาวเวอร์ ถนนกรุงธนบุรี คลองต้นไทร คลองสาน, 10600 Bangkok","

                                                                        Mon - Fri                                                                                        10:00 AM - 2:00 PM                                    
"
253,Turbo Baked Prawns With Vermicelli,3.6/5,(3),"851 14 ซอยจันทร์ 23/2 บางโคล่ บางคอแหลม, 10120 Bangkok","

                                                                        Tue - Sun                                                                                        4:30 PM - 9:00 PM                                    
"
254,Dee Dee Cheese & Fries Smile,4.2/5,(14),"99 ถนน ลาดหญ้า แขวง สมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพมหานคร 10600, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 7:30 PM                                    
"
255,Us Cafe,4.5/5,(37),"276 ซอยประชาธิปก 6 วัดกัลยาณ์ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        12:30 PM - 9:00 PM                                    
"
256,Yum Ratee Zaapver,3.5/5,(2),"ตลาดอินดี้ (ดาวคะนอง), เอกชัย 22, จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        7:00 PM - 10:00 PM                                    
"
257,Arhan Tamsang Pah Nun,3.5/5,(4),"1232 สมเด็จพระเจ้าตากสิน 42, ดาวคะนอง, ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        8:00 AM - 7:00 PM                                    
"
258,Karmhoo Kurobuta (Icon Siam),5/5,(7),"299 ซอยเจริญนคร 5 คลองต้นไทร คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 7:30 PM                                    
"
259,Evaime Shabu Shabu (Iconsiam),0,,"299 ชั้น 4 ไอคอนสยาม ถนนเจริญนคร คลองสาน คลองต้นไทร, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:00 PM                                    
"
260,Tiew Tewada,4.3/5,(31),"316 เทิดไทย 18 แขวงตลาดพลู เขตธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 6:00 PM                                    
"
261,Nai Noi Spicy Noodle,4.4/5,(59),"6/4 ถ.วุฒากาศ แขวงบางค้อ เขตจอมทอง, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        10:00 AM - 8:00 PM                                    

                                                                        Sun                                                                                        10:00 AM - 5:00 PM                                    
"
262,The Coffee Club (ALIVE CAFÉ X THE COFFEE CLUB),0,,"299 ถนนเจริญนคร คลองต้นไทร คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
263,KFC (Esso Charansanitwong 13),4.5/5,(214),"44/223 ปั๊มเอสโซ่ จรัญสนิทวงศ์ 13 ถ.จรัญสนิทวงศ์ วัดท่าพระ บางใหญ่, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
264,Jae Teang Guay Tiew Nam Sai Lookchin Rachan,4.6/5,(16),"233 ซอยเทอดไท 6 บางยี่เรือ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 6:00 PM                                    
"
265,Lockchin Phantip Parabert Giant,0,,"ุ613/1 ถนนเจริญสุก ในเมือง เมือง, 62000 Kamphaeng Phet","

                                                                        Mon - Sun                                                                                        9:00 AM - 8:30 PM                                    
"
266,Basil Thai Kitchen (Riverside),4.4/5,(82),"1st floor, 257 Charoen Nakorn Rd. Samrae, Thonburi, 10110 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:00 PM                                    
"
267,Garage 51,4.2/5,(175),"78 ถ.กัลปพฤกษ์ ภาษีเจริญ บางหว้า, 10160 Bangkok","

                                                                        Tue - Sun                                                                                        10:00 AM - 8:00 PM                                    
"
268,Hor Mok Sood Sawey,4.2/5,(11),"6/23 เอกชัย 31 จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        8:00 AM - 4:00 PM                                    
"
269,Kiani,4.6/5,(2k+),"คิอานิ - ฟิฟตี้ฟิพลาซ่า 90 ทองหล่อ 2 ถนนสุขุมวิท เขตวัฒนา กรุงเทพมหานคร, 10110 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 8:00 PM,                                             11:15 AM - 7:45 PM                                    
"
270,Honey Lemon Soda,0,,"ตลาดอินดี้ ดาวคะนอง, ถนนสุขสวัสดิ์, จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        4:00 PM - 10:00 PM                                    
"
271,Yen Ta Four Jay Ya,4.6/5,(31),"83 อินทราพิทักษ์,บางยี่เรือ,ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        9:00 AM - 4:00 PM                                    
"
272,Pizza Hut (Ladya),4.5/5,(324),"242/3 ถนนลาดหญ้า แขวงลาดหญ้า เขตคลองสาน กทม. 10600, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
273,Nopparat,4/5,(4),"6/130-132 แขวงชนะสงคราม, เขตพระนคร, พระนคร, 10200 Bangkok","

                                                                        Mon,                                                                                                 Wed - Sun                                                                                        10:30 AM - 9:00 PM                                    
"
274,Gyoza Family,4.1/5,(9),"29/63 ซอยจอมทอง 14 บางค้อ จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        8:00 AM - 11:00 PM                                    
"
275,Por Grilled Squid,3/5,(2),"894 ถนนรัชดาภิเษก ถนนเทอดไท 18 ตลาดพลู ธนบุรี, 10600 Bangkok","

                                                                        Wed - Sun                                                                                        6:00 PM - 10:30 PM                                    
"
276,Sukiya (Senafest),4.6/5,(536),"Room 207, 2nd floor, Senafest, Cheronkrung, 10600 Bangkok","

                                                                        Mon - Fri                                                                                        11:00 AM - 8:30 PM                                    

                                                                        Sat,                                                                                                 Sun                                                                                        10:00 AM - 8:30 PM                                    
"
277,Sam Chai Kao Lao Leud Mooh,4.3/5,(20),"1639 ถนนเทอดไท ตลาดพลู ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 5:00 PM                                    
"
278,Padthai Boran,4.3/5,(313),"11 ทางรถไฟวงเวียนใหญ่ แขวงบางยี่เรือ เขตธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:30 AM - 9:00 PM                                    
"
279,Dubble Cup,4.1/5,(43),"1/1 ริมทางรถไฟ บางยี่เรือ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
280,Kao Mun Kai Pao Pao,4.2/5,(29),"112 ซอยเพชรเกษม 4, วัดท่าพระ, บางกอกใหญ่, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        6:00 AM - 3:00 PM                                    
"
281,Love Cheese Cafe,4.3/5,(13),"2/9 ถ.อรุณอัมรินทร์ตัดใหม่ แขวงวัดกัลยาณ์, 10600 Bangkok","

                                                                        Mon - Fri                                                                                        11:00 AM - 8:00 PM                                    

                                                                        Sat                                                                                        10:00 AM - 6:00 PM                                    
"
282,Chim Aroi (Itsaraphap 13),4.1/5,(12),"955 ถนนอิสรภาพ หิรัญรูจี ธนบุรี, 10600 Bangkok","

                                                                        Tue - Sun                                                                                        11:00 AM - 9:00 PM                                    
"
283,Neo Suki (Bangwha),4/5,(2),"212/3 บางหว้า, ภาษีเจริญ, 10160 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:00 PM                                    
"
284,Kanomkrok Yak Chaowang Mingkwan,0,,"132-134 ซอยรัชดาภิเษก 15 บุคคโล ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        3:00 PM - 9:00 PM                                    
"
285,Mhala Soi 1,4.3/5,(3),"ซอยท่าดินแดง 1 คลองสาน, 10600 Bangkok","

                                                                        Tue - Fri                                                                                        4:30 PM - 10:00 PM                                    
"
286,Srisom Steak & Restaurant Itsaraphap 44,4.5/5,(15),"2/9 ถนนอิสรภาพ บ้านช้างหล่อ บางกอกน้อย, 10700 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 10:00 PM                                    
"
287,Pizza Hut (Jomthong),4.4/5,(150),"73/133 Dao Khanong-Chom Thong Road, Chom Thong Sub-district, Chom Thong District, Bangkok 10150, #10150 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
288,Rachan noodles,4.6/5,(231),"406 ซอยเจิรญราฎษร์4 คลองต้นไทร คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 5:30 PM                                    
"
289,Mhoo Plara Tah Din Daeng,3/5,(3),"ซอยท่าดินแดง 16 ถนนท่าดินแดง คลองสาน, 10600 Bangkok","

                                                                        Mon                                                                                        11:15 AM - 9:30 PM                                    

                                                                        Tue - Fri                                                                                        3:30 PM - 9:30 PM                                    

                                                                        Sat,                                                                                                 Sun                                                                                        11:30 AM - 9:30 PM                                    
"
290,Karmhoo Kurobuta (Charoen Nakhon),4.5/5,(4),"832 ถนนเจริญนคร บางลำภูล่าง คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        12:00 AM - 11:59 PM                                    
"
291,Ran Pee Pu,4.2/5,(7),"653, Moo C8, Udomsuk Walk village, Sukhumvit 103 Rd,, 10260 Bangkok","

                                                                        Mon - Sun                                                                                        3:00 PM - 10:30 PM                                    
"
292,Oh Cheese,3.7/5,(4),"ตลาดอินดี้ดาวคะนอง ถนนสุขสวัสดิ์ จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        5:00 PM - 11:59 PM                                    
"
293,"Spaghetti Factory, Central World",4.1/5,(37),"เลขที่ 4,4/1-4/2,4/4 ห้องA612/NN เซ็นทรัลเวิลด์ ชั้น 6, ถนนราชดำริ ปทุมวัน, 10330 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:30 PM                                    
"
294,Jae Van Kraprorpla,4.5/5,(8),"35 ถนนเทอดไทย ปากคลองภาษีเจริญ ภาษีเจริญ, 10160 Bangkok","

                                                                        Mon - Sun                                                                                        4:00 PM - 9:00 PM                                    
"
295,Tam Sung Lung Foam,4.7/5,(27),"242 จรัญสนิทวงศ์ 4 , วัดท่าพระ , บางกอกใหญ่, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        10:00 AM - 5:00 PM                                    
"
296,Raan Yum Nhoo Rum Ruay,4.7/5,(10),"ตลาดอินดี้ ถนนสุขสวัสดิ์, ซอยสุขสวัสดิ์ 2, ชมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        5:00 PM - 10:00 PM                                    
"
297,Larn Lim Mha La,4.4/5,(51),"1/6 ถ.วุฒากาศ, บางค้อ, จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 11:59 PM                                    
"
298,BBQ Duck Hong Kong,0,,"355 - 357 สุขุมวิท ถนน 101/1 บางจาก พระโขนง, 10260 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 8:00 PM                                    
"
299,Guaytiew Reu Ayutthaya Mhoo Namtok Mhootoon (Khlongsan Plaza),0,,"คลองสานพลาซ่า ซอยเจริญนคร 1  คลองต้นไทร  คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 8:00 PM                                    
"
300,Moma's Bubble Tea Bar (Wongwian Yai),4.7/5,(12),"85 ถนนลาดหญ้า คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        7:30 AM - 8:30 PM                                    
"
301,Larksen Lairose,0,,"1287 ถ.เจริญนคร บางลำภูล่าง คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 10:30 PM                                    
"
302,Mild Kaokaijiew,3.8/5,(9),"เดอะ เทมโป้ แกรนด์ วุฒากาศ ถนนราชพฤกษ์ บางค้อ จอมทอง, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        5:00 PM - 9:00 PM                                    
"
303,วันหวาน (Wan Waan),4.1/5,(9),"274 ซอยเจริญนคร 14 แยก 12 คลองต้นไทร, คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        9:00 AM - 9:00 PM                                    
"
304,Krua Tid Lom,4.2/5,(4),"167/3 ซอยจรัญสนิทวงศ์ 12,   ท่าพระ บางกอกใหญ่, 10170 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
305,Sushi Kumto,4.8/5,(5),"ตลาดอินดี้ดาวคะนอง เอกชัย จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        6:00 PM - 11:30 PM                                    
"
306,Ten of Cups Coffee and Fortune,0,,"404 ซอยกรุงธนบุรี6,ถนนกรุงธนบุรี,บางลำพู,คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:30 PM                                    
"
307,Jae A Kaow Mhoo Tord,4.4/5,(21),"ซอยสมเด็จพระเจ้าตากสิน 19 สำเหร่ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        7:00 AM - 3:00 PM                                    
"
308,Kamu (Icon Siam),4.5/5,(141),"681 ซอย เจริญนคร  (ชั้น 6 ตรงข้ามโรงภาพยนตร์), 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:30 AM - 10:00 PM,                                             10:45 AM - 9:45 PM                                    
"
309,Sushi Mafia,0,,"444 ชั้นจี เอ็มบีเค เซ็นเตอร์ ถนนพญาไท วังใหม่ ปทุมวัน, 10330 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:30 PM                                    
"
310,Chalaxy (Yaek Wuttakat),4.4/5,(19),"1124 ซอยเทอดไท 26, ตลาดพลู, ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 8:00 PM                                    
"
311,Nok Ka Ta Han Baan Suan,0,,"อินดี้มาร์เก็ต ดาวคะนอง เอกชัย จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        6:00 PM - 11:30 PM                                    
"
312,Talay Pao,4.2/5,(52),"1351/5 ถ.เจริญนคร บางลำภูล่าง คลองสาน, 10100 Bangkok","

                                                                        Mon - Sun                                                                                        3:00 PM - 9:00 PM                                    
"
313,MUENG KRUNG Chicken noodle with Bitter gourd (Soi Phokaew),4.4/5,(61),"111/114 โพธ์แก้ว แยก11 นวมินทร์ คลองกุ่ม บึงกุ่ม, 10240 Bangkok","

                                                                        Mon - Sun                                                                                        12:00 AM - 2:00 AM,                                             11:00 AM - 11:59 PM                                    
"
314,Kha Moo Yim Yim,3.7/5,(20),"86/9 ถนนวุฒากาศ, ตลาดพลู, ธนบุรี, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        10:00 AM - 7:30 PM                                    
"
315,BurinKinKao Burger & Steak,2/5,(1),"317 ถ.บ้านหม้อ แขวงวังบูรพาภิรมย์ เขตพระนคร, 10200 Bangkok","

                                                                        Mon,                                                                                                 Wed - Sun                                                                                        11:00 AM - 8:30 PM                                    
"
316,Pad Thai Hoi Tord Tah Din Daeng,4.6/5,(5),"ซอยท่าดินแดง 5 ถนนสมเด็จเจ้าพระยา, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        4:00 PM - 10:00 PM                                    
"
317,Bualoy Fang Thon,4.5/5,(10),"132-134 รัชดาภิเษก 15 บุคคโล ธนบุรี, 10600 Bangkok","

                                                                        Tue - Sat                                                                                        5:00 PM - 9:30 PM                                    
"
318,Khao Pad Pu Nai Big,4.6/5,(42),"5/9 ซอยจอมทอง12 บางค้อ จอมทอง จอมทอง, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        4:00 PM - 10:00 PM                                    
"
319,Fu Bamee Pu Kiewkoong Moo Deang (Thapra),4.3/5,(44),"144 รัชดาภิเษก 13, ดาวคะนอง,ทธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:30 PM                                    
"
320,Joke Moo Jea Mink Sum Rea (Taksin 19),3.7/5,(12),"2 175/5 Somdet Phra Chao Tak Sin 19 Alley, Samre, Thon Buri, Bangkok 10600, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        9:00 AM - 11:00 AM,                                             3:30 PM - 8:00 PM                                    
"
321,Somtom Yum YureYure Chom Thong,4/5,(52),"122/254 ถนนจอมทอง บางค้อ จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        11:30 AM - 8:00 PM                                    
"
322,Kin Dee Healthy Drinks,3/5,(1),"24 ซอย อิสรภาพ 44 บ้านช่างหล่อ บางกอกน้อย, 10700 Bangkok","

                                                                        Tue - Sun                                                                                        8:30 AM - 5:00 PM                                    
"
323,Sushi Den (Icon Siam),3.8/5,(8),"518/6 อาคารมณียาเซ็นเตอร์ ชั้น 10 ถนนเพลินจิต ปทุมวัน, 10330 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 8:00 PM,                                             11:15 AM - 7:45 PM                                    
"
324,Seek cafe' (Bangna),4.2/5,(42),"Bangna Trat 23, Bang Na, 10260 Bangkok","

                                                                        Mon - Sun                                                                                        9:00 AM - 8:30 PM                                    
"
325,Sun Sushi Yaki,0,,"922/1 ซอยเทอดไท 20 ตลาดพลู ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        3:00 PM - 9:00 PM                                    
"
326,Yuan Taste Taiwan Traditional Cake (Platform),4.2/5,(45),"Platform Wongwienyai 99 Lat Ya Road, Somdet Chao Phraya, Khlong San, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        9:30 AM - 8:00 PM                                    
"
327,Mala at Talat Phlu (Indy Market Dao Kanong Branch),4.5/5,(4),"502/18 ถนน สุขสวัสดิ์ หมู่ 3 จอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        6:00 PM - 10:00 PM                                    
"
328,Tiew Ruer Nai Bank,4.6/5,(13),"308 ถนนอิสรภาพ คลองต้นไทร คลองสาน, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        10:00 AM - 4:00 PM                                    
"
329,Tonkluay Mhoo Jum Somtam-Yum-Pao,4.3/5,(16),"384 ถนนตากสิน สำเหร่ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 10:00 PM                                    
"
330,Mom and Sis The Smoothie Cafe Cafe (Iconsiam),5/5,(1),"ไอคอนสยาม 299 ถนนเจริญนคร คลองต้นไทร คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:30 PM                                    
"
331,Krua Pon La Mai ( 5th Branch ),5/5,(1),"685/8 ถนนอรุณอมรินทร์ วัดอรุณ บางกอกใหญ่, 10600 Bangkok","

                                                                        Mon,                                                                                                 Tue,                                                                                                 Thu - Sun                                                                                        4:00 PM - 10:00 PM                                    
"
332,Manee Me More (HomePro Charansanitwong),4/5,(2),"โฮมโปร จรัญสนิทวงศ์ 110/8 ชั้น 1 บ้านช่างหล่อ บางกอกน้อย, 10700 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 8:15 PM                                    
"
333,Suda Kaowmungai,4.3/5,(18),"ซอยสมเด็จพระเจ้าตากสิน 17 สำเหร่ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 4:00 PM                                    
"
334,Bualoy Yimlamai (Wat Nak Prok),4.5/5,(37),"104 ถนนเทอดไท, ปากคลองภาษีเจริญ, ภาษีเจริญ, 10160 Bangkok","

                                                                        Mon - Fri                                                                                        2:00 PM - 9:30 PM                                    
"
335,Noodle Boat Khlong Lad,4.4/5,(22),"15/7 ซ.กัลปพฤกษ์ แขวงบางค้อ เขตจอมทอง, 10150 Bangkok","

                                                                        Mon - Sun                                                                                        8:00 AM - 9:00 PM                                    
"
336,Gold Curry,4.4/5,(2k+),"*[0]* ร้าน โกลด์เคอรี่, 20/3 ซอยสุขุมวิท 39, คลองตันเหนือ, วัฒนา, 10110 Bangkok","

                                                                        Mon - Sat                                                                                        12:00 AM - 1:00 AM,                                             11:00 AM - 11:59 PM,                                             12:00 AM - 12:45 AM,                                             11:15 AM - 11:59 PM                                    

                                                                        Sun                                                                                        12:00 AM - 1:00 AM,                                             11:00 AM - 11:59 PM,                                             12:00 AM - 12:45 AM                                    
"
337,Food Republic (Icon Siam),0,,"ไอคอนสยาม ถนนเจริญนคร คลองต้นไทร คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 9:00 PM                                    
"
338,Siam Plug in Cafe,3.9/5,(24),"262 ซอยสาทรแมนชั่น 1 กรุงธนบุรี คลองต้นสาย คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 8:30 PM                                    
"
339,Jae Tim Guaytiew Tomyum,4/5,(2),"132 ริมทางรถไฟ บางยี่เรือ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        6:00 AM - 2:00 PM                                    
"
