,restaurant_name,ratings,review,location,time
50,Sutunthip Vegan,0,,"1022/34 ถนนเจริญนคร แขวงบางลำพูล่าง เขตคลองสาน, 10600 Bangkok","

                                                                        Mon,                                                                                                 Wed - Sun                                                                                        10:30 AM - 9:00 PM                                    
"
51,Moo Ping Game Zone,5/5,(4),"15/25 ซอยจรัญสนิทวงศ์ 22 บ้านช่างหล่อ บางกอกน้อย, 10700 Bangkok","

                                                                        Mon - Sun                                                                                        3:30 PM - 8:30 PM                                    
"
52,Rodjana Coffee,4.6/5,(81),"6/9 ถนนอิสรภาพ บ้านช่างหล่อ บางกอกน้อย, 10700 Bangkok","

                                                                        Mon - Sun                                                                                        8:00 AM - 7:00 PM                                    
"
53,Mhoo Plara Cafe,4/5,(12),"1124/1 ถนนเทอดไท ตลาดพลู ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        2:00 PM - 11:00 PM                                    
"
54,Monkey Mhoo Tod,4.6/5,(18),"501/6 ซอยอิสรภาพ 42 วัดอรุณ บางกอกใหญ่, 10600 Bangkok","

                                                                        Mon - Fri                                                                                        9:00 AM - 2:00 PM                                    
"
55,Khaogaeng Tee Noi,3/5,(1),"เจริญนคร 48 สำเหร่ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        10:00 AM - 2:00 PM                                    
"
56,5 Rang Wan Aroi (Charoen Nakhon),4.1/5,(19),"832 ถนนเจริญนคร บาลำภูล่าง คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        12:00 AM - 11:59 PM                                    
"
57,Karmhoo Cafe,4.5/5,(12),"ถนนเจริญรัตน์ คลองต้นไทร คลองสาน, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        10:00 AM - 7:00 PM                                    
"
58,Khun Rat Kao Mun Kai,4.8/5,(6),"127 ซอยอินทรพิทักษ์ บางยี่เรือ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Thu,                                                                                                 Sat,                                                                                                 Sun                                                                                        10:00 AM - 3:30 PM                                    
"
59,Kao Mun Kai Mae Su Nun,4.4/5,(27),"907/12 ซอยอิสรภาพ 13, หิรัญรูจี, ธนบุรี, 10600 Bangkok","

                                                                        Tue - Sun                                                                                        11:30 AM - 4:30 PM                                    
"
60,SIS Cafe & Bistro,4.6/5,(14),"14/31-33 ถ.ราชพฤกษ์ บางกรวย มหาสวัสดิ์,  Bangkok","

                                                                        Tue - Sun                                                                                        10:30 AM - 9:00 PM                                    
"
